KMC,freq
오늘,660
인공지능,3048
SF,52
영화,868
모습,1187
지능,707
빅 히어로,1
인터스텔라,14
히어로,1
베이,20
맥스,17
장합,4
니다,1666
인간,3646
친구,484
사람,5092
위로,23
스텔라,5
로봇,2182
타스,11
주인공,166
목숨,23
멸망,30
행성,75
터미네이터,32
매트릭스,35
인류,751
전쟁,233
기반,912
시설,224
파괴,192
등장,534
발전,1790
통제,303
걱정,257
필요,3295
걸림돌,7
구현,210
에너지,848
개발,1437
문제,2330
사고,725
스팅,130
아래,382
유망,194
직업,2099
자료,984
불확실성,80
해답,49
성찰,72
교육,6513
선진,72
다이얼로그,4
건설,178
문화,1178
창달,6
가지,1201
아카데미,205
정욱,4
경기대학교,9
경영학,76
일제,20
강점기,7
직후,14
우리나라,701
상황,1031
세계,2197
빈국,7
한국,1399
지금,1141
위치,333
요인,186
자원,344
인적,59
육성,262
성장,899
성공,657
이야기,1312
사실,638
나라,462
추격,31
정책,1102
실시,266
예외,45
선진국,188
맹추격,1
결과,760
가난,86
가입,95
G20,5
정상회담,6
의장국,1
위상,41
국제,481
현재,784
과언,22
정도,892
미국,1051
오바마,18
대통령,195
한국의 교육,9
역설,57
각국,66
기관,565
대학,2111
진학,224
초점,130
청소년,616
변화,4297
적응,279
자살,79
한국인,70
창의성,392
지적,260
계속,188
고령,383
심화,196
정보,2198
기술,5541
발달,725
기존,654
일자리,1053
조차,37
예측,1234
구조,642
시스템,1352
이상,1043
경쟁력,309
발휘,171
개선,377
방안,463
맞춤,263
인재,1426
자신,1976
요구,694
진로,1103
강화,534
선행,73
잠재력,103
내면,68
기회,731
학생,2709
부여,113
점수,121
적성,117
흥미,268
학과,682
학부모,593
인식,596
입시,238
위주,124
인해,497
고민,585
시간,2107
부족,349
제공,1024
직간접,10
경험,962
관심,985
확인,400
과제,522
해결,904
방법,1287
산학,108
연산,76
업체,240
연구소,417
협동,67
실무,128
연계,286
검토,113
실제,335
학교,1669
이외,88
체험,802
구체,41
도움,486
중학생,192
대상,655
자유,441
학기제,52
장점,144
이용한,132
제도,539
외부,138
연결,764
일본,504
역대,21
과학,1205
분야,1971
노벨상,20
수상자,43
기업체,24
출신,91
창의,795
연구,1506
청색,30
상용,116
바탕,431
지식,1728
공헌,78
스스로,166
근로자,151
건강,881
개입,37
시행,141
유럽,171
경우,1014
감정노동,4
포함,361
심리,261
위험,290
적극,305
감소,389
노력,767
촉구,18
다음,708
그림,263
구글,384
실태,23
방향,836
정책연구,40
관리,654
여성,719
감정,586
노동자,199
인권,76
가이드,41
실천,370
사업주,10
안내서,21
국가,1408
인권위원회,7
PC,8
10대,126
불안정,37
고용,351
계약,88
불안,239
시장,840
과도,59
주화,1
노동,480
인구,742
장시간,10
강도,37
직장,240
손상,35
가정,376
양립,9
업무,491
질병,200
인정,226
범위,134
차이,318
유럽연합,14
EU,9
산재,11
승인,30
중심,988
확대,467
추세,144
영국,205
발생,488
재해,44
반대,161
증거,43
추정,35
프랑스,101
원인,203
판정,10
스웨덴,36
산재보험,2
건강보험,18
통합,343
담당,190
의사,248
판단,309
혜택,188
있다,1251
서울신문,6
골격,6
질환,102
38,6
경계,187
21,19
호흡,42
14,8
감각,113
13,15
반면,163
72,3
진폐,1
뇌심혈관계 질환,1
피부 질환,2
산업,1817
통계,129
인용,75
참고,276
조사국,1
차별,216
조사,425
공학,368
석학,43
리더,332
선정,357
20대,75
실리콘,19
